Country,Code,Value_max,Value_min,Value_mean,Value_median,Value_std,Annual_Growth_Rate_mean,Annual_Growth_Rate_median,Annual_Growth_Rate_std,5_Year_Growth_Rate_mean,10_Year_Growth_Rate_mean
Afghanistan,AFG,41454761.0,9035043.0,19260382.578125,13633504.0,9872566.717037441,2.491611314910658,2.458244937524179,2.991540507993677,13.714632646895192,29.883224888758992
Africa Eastern and Southern,AFE,750503764.0,130072080.0,361118331.703125,324762834.0,180821719.20461732,2.821185198345183,2.7722564753094536,0.166701182128321,14.985818562133012,32.297033027290325
Africa Western and Central,AFW,509398589.0,97630925.0,247911763.046875,218185042.0,122274456.28889121,2.65719922474323,2.7563767248584004,0.22117618002886175,14.158860152336771,30.68775649494837
Albania,ALB,3286542.0,1608800.0,2713609.46875,2878402.0,465196.7078317761,0.8635650860892568,-0.1597526714833153,1.523521392593485,4.5441221918740995,9.405064376903697
Algeria,DZA,46164219.0,11424922.0,26326550.015625,26308248.0,10645348.9678419,2.243783854797252,2.058771488261457,0.7247295434532779,12.01563870821913,26.11851514045999
American Samoa,ASM,57062.0,20133.0,42429.671875,47701.5,12654.916129935606,1.3884358130078507,1.8184201041905546,1.8075587570440939,7.686556937413976,17.09517317158238
Andorra,AND,83888.0,9510.0,51203.625,58433.5,24451.098518835064,3.5059863946670355,3.9055709205847444,3.240200828865442,19.25105152850992,42.675931887615356
Angola,AGO,36749906.0,5231654.0,15047373.546875,12223620.5,9302517.548612492,3.1467531050407307,3.461972909140121,0.9207162481471063,17.20822546487267,38.64760211110382
Antigua and Barbuda,ATG,93316.0,55603.0,72056.65625,64908.0,11464.68685735042,0.8282457379795308,0.921384368553757,0.7870659725911838,4.1924650371692564,8.40305572770312
Arab World,ARB,481667539.0,91540853.0,249069063.875,231361940.5,117633999.3542957,2.6715481295145147,2.6117628595835773,0.41922660832809094,14.218347342474804,30.8593709980141
Argentina,ARG,45538401.0,20386045.0,33270532.1875,33461910.5,7941124.90776034,1.2845641455995807,1.3940081300514606,0.3706723843392981,6.712061707543858,14.089527398380543
Armenia,ARM,3613977.0,1863705.0,2947743.921875,3036350.0,419141.5316655726,0.7667931060630743,0.7993041952579549,1.641350894387935,3.712130948239997,7.182735479958067
Aruba,ABW,109203.0,54922.0,78160.09375,67450.5,20691.39270610018,1.0831650969270135,0.866128200721783,1.6790890801098395,5.951268646301216,13.137990449057657
Australia,AUS,26658948.0,10276477.0,17631807.234375,17381335.5,4614580.033716021,1.5258317339743332,1.4570145307490678,0.49900105442115716,7.765447693967939,15.986241713476282
Austria,AUT,9131761.0,7047539.0,7917837.59375,7797800.0,536231.0296184883,0.4126358064092959,0.43662211288633124,0.3353299411821586,1.985051549524721,3.784116930983554
Azerbaijan,AZE,10153958.0,3894500.0,7247431.96875,7326675.0,1839322.9555143642,1.535465115246032,1.4617325724772812,0.75201739398034,7.855907470778007,15.99952187142993
