country,iso_code,primary_energy_consumption_max,primary_energy_consumption_min,primary_energy_consumption_mean,primary_energy_consumption_median,primary_energy_consumption_std,energy_per_capita_mean,energy_per_capita_median,energy_per_capita_std,fossil_share_energy_mean,renewables_share_energy_mean,energy_transition_index_mean
Afghanistan,AFG,42.005,4.428,13.588786885245902,11.449,7.569578431037507,834.6660819672131,794.725,414.7299857802253,,,
Albania,ALB,49.941,20.567,34.215893442622956,33.715500000000006,5.3781115810881355,11522.061647540982,11535.022,1794.6926126917201,,,
Algeria,DZA,703.068,24.833,308.5287276422764,306.8855,135.34416878586643,10659.273918699188,11116.838,2932.7899004026967,99.42532520325204,0.5746666666666667,0.005890052426826768
American Samoa,ASM,2.83,1.384,2.070404761904762,2.2885,0.4266954165600521,42153.88130952381,43023.57,10308.947300204441,,,
Angola,AGO,118.654,16.958,39.92643089430894,33.841,22.460202485504382,2240.141638211382,2087.0985,502.1757420373994,,,
Antarctica,ATA,0.986,0.046,0.5956666666666667,0.811,0.3963831397725374,,,,,,
Antigua and Barbuda,ATG,3.088,1.212,2.2515238095238095,2.136,0.5756996692507108,29099.23657142857,28929.875,4085.8122121889423,,,
Argentina,ARG,1000.973,328.528,614.7115284552846,593.3019999999999,152.66007795690587,17730.895593495934,17241.412,1865.1297343398983,87.90243495934959,10.097353658536585,0.11639200785161467
Armenia,ARM,57.757,27.312,40.04866666666667,40.956,7.065288330662965,13157.895833333334,13492.7,2480.4063678544217,,,
Aruba,ABW,6.094,0.426,4.177499999999999,4.680999999999999,1.5629827437124368,45279.484472222226,49541.66,13129.970088828395,,,
Australia,AUS,1680.256,425.76,1098.1610162601626,1084.772,262.1511218011905,60479.27480487805,61018.504,6325.70004208759,94.85747560975611,5.142524390243903,0.05446428290655836
Austria,AUT,429.028,189.498,348.6723333333333,351.81899999999996,45.738287983914006,43747.096585365856,44333.682,4541.003420472226,70.07832520325204,29.92167479674797,0.42978256602276144
Azerbaijan,AZE,260.551,125.609,173.5357894736842,165.4645,42.184861350936345,20640.07302631579,17264.0085,7113.31828083015,96.73976315789473,3.260236842105263,0.03392727923488278
Bahamas,BHS,18.257,9.014,13.357000000000001,13.1085,2.5456560896612226,42438.78778571429,39451.7675,11245.108259926506,,,
Bahrain,BHR,235.749,40.174,118.3313780487805,113.8335,35.813499924262786,147669.24602439025,148108.67200000002,8015.856975388142,,,
