country,product,value_max,value_min,value_mean,value_median,value_std,annual_change_mean,annual_change_median,annual_change_std,3_year_avg_mean
Australia,Crude oil,17377.364999999998,170.022,3508.3714285714277,1345.061,6133.55073648176,-14.173438514650897,-5.836575875486383,35.5062031484899,1728.8294880952378
Australia,Gasoline and diesel,26136.300499999998,2204.141,10224.349833333332,2332.608,13780.303206255934,-34.13974462383839,-5.836575875486383,49.30784042589148,3937.7539999999995
Australia,Liquified Petroleum Gas,823.0,50.0,310.3333333333333,58.0,444.0003753752167,-37.52743057248131,-13.793103448275868,48.16419487221788,633.0818333333333
Australia,Middle distillates,1981.457,57.512,1491.1593750000002,1962.83425,955.8109219123289,-2.813066462487099,-3.2862999612188473,3.575753358224261,1088.1025208333333
Australia,Naphtha,0.0,0.0,0.0,0.0,0.0,-5.836575875486383,-5.836575875486383,0.0,529.6373888888888
Australia,Other oil products,1812.818,144.931,701.0543333333334,145.414,962.8156086252098,-32.502841136399276,-5.836575875486383,51.62282064896135,763.3221666666667
Australia,Residual fuel oil,207.24450000000002,14.354,87.4185,98.618,69.10061105795906,-12.385810601432699,-5.836575875486383,35.27980432653422,595.9246071428571
Australia,Total gas oil production,11719.4895,6.138,2320.4905,842.388,4159.710796790896,-17.044789313348506,-5.836575875486383,32.82521504708652,1340.6731785714285
Australia,Total kerosene production,3939.6985,524.231,1698.2295000000001,630.759,1941.899717330107,-24.069796510845723,-5.836575875486383,55.78853197903043,1095.7138888888887
Australia,Total oil production,5242.901,360.176,3886.65475,4971.771000000001,2354.4575614124474,-1.5570890066533505,-2.927378439114503,5.42456070331276,1861.3789791666668
Australia,Total oil products production,44638.551,190.154,9154.044142857143,3676.634,15707.928396581587,-15.5461564355371,-5.836575875486383,33.25543189645414,3609.7617261904757
Austria,Crude oil,1237.197,-2.807,590.7950714285714,538.817,575.295113866239,-15.117988229496332,-5.836575875486383,34.44547849623905,764.533988095238
Austria,Gasoline and diesel,7232.5525,535.731,2784.5731666666666,585.436,3852.143268243872,-35.41079008291232,-8.490253417965421,48.94387763779518,1457.8284444444444
Austria,Liquified Petroleum Gas,83.7315,6.332,32.357166666666664,7.008,44.492761636959926,-35.704361531181284,-9.646118721461194,48.470802026680296,540.4231111111111
Austria,Middle distillates,1135.783,0.138,834.95475,1101.949,556.9470683295825,-3.252446389308586,-5.158460576354612,4.311767675215502,874.1488124999998
Austria,Naphtha,957.1600000000001,74.639,370.1093333333333,78.529,508.4045111427842,-34.19526148591593,-5.836575875486383,49.88533139113819,653.0071666666666
Austria,Other oil products,547.7835,20.286,197.7695,25.239,303.13113201921374,-40.28449649169642,-19.62439082372518,48.220295322252326,595.5605555555554
Austria,Residual fuel oil,140.234,3.627,70.62792857142857,59.8125,60.771161276291636,-16.97025468981646,-5.836575875486383,35.10083090851282,589.5826071428571
Austria,Total gas oil production,1471.8805,-2.786,386.5637857142857,315.049,495.98393444309744,-14.470826498134205,-5.836575875486383,34.921084566418926,696.4558928571429
Austria,Total kerosene production,507.3225,57.957,209.41616666666667,62.969,258.00662320197,-28.588230376935787,-5.836575875486383,52.45321844608343,599.4427777777777
Austria,Total oil production,2890.695,24.79,2136.1646250000003,2814.5867500000004,1408.0882372737026,-2.117292238905777,-2.409878183889258,4.3211547592034565,1305.8311041666666
Austria,Total oil products production,10860.243,27.597,2514.7662857142855,1653.498,3730.150800871805,-16.555174218415655,-5.836575875486383,33.30675447046037,1404.4099166666667
Belgium,Crude oil,916.0,0.0,376.0142857142857,5.6,467.90883880150346,-5.553100269179383,-5.836575875486383,0.7736829879748881,692.5400595238095
Belgium,Gasoline and diesel,9164.0,761.0,3598.933333333333,871.8,4819.807507912877,-36.34419997187169,-12.709337003899968,47.01452318717706,1729.2818333333332
Belgium,Liquified Petroleum Gas,2294.7,204.7,904.4333333333333,213.9,1204.0150386657688,-30.807212596346986,-5.836575875486383,52.452250435708,831.1151666666666
Belgium,Middle distillates,3299.5,58.2,2438.4125,3197.9750000000004,1587.6174992605536,-1.966921108669506,-2.275497108330593,4.49661595861929,1403.7962291666668
