Visitors,Revenue,Country,Category
948853,84388.38,India,Nature
813627,802625.6,USA,Historical
508673,338777.11,Brazil,Nature
623329,295183.6,Brazil,Historical
124867,547893.24,France,Cultural
389886,943411.34,Egypt,Cultural
416933,744983.22,China,Beach
652046,796172.02,China,Historical
59309,588988.55,Australia,Cultural
319068,239590.44,India,Adventure
25568,941320.46,Australia,Urban
310407,152734.82,China,Cultural
767695,653154.24,Australia,Urban
797939,593518.54,Egypt,Adventure
677168,989416.73,Australia,Nature
520163,65560.3,Australia,Beach
418753,776482.65,Brazil,Historical
412795,13352.38,Australia,Nature
96904,836114.32,China,Beach
73266,205619.81,France,Beach
323378,658536.04,India,Cultural
324508,322444.49,India,Urban
362929,822928.71,France,Adventure
3127,995339.37,Egypt,Cultural
788932,329445.58,France,Urban
772355,761817.3,India,Urban
802317,111955.55,Australia,Cultural
394910,669396.49,Egypt,Urban
855061,444125.87,USA,Urban
383698,829888.19,India,Urban
971260,355943.11,USA,Adventure
901898,646908.09,China,Beach
864679,417381.06,China,Historical
758884,800239.58,China,Cultural
115125,933126.88,China,Beach
834414,373506.21,USA,Cultural
490207,267279.35,India,Nature
805195,296584.73,India,Adventure
472874,125893.77,India,Historical
536667,36495.39,Egypt,Nature
117254,742830.59,USA,Adventure
909638,741764.58,Egypt,Urban
942659,412987.76,Egypt,Beach
290650,181736.4,Brazil,Beach
720785,301370.15,France,Beach
677699,500007.44,India,Nature
229338,363284.19,China,Cultural
574387,925242.19,Egypt,Urban
232327,400977.82,Australia,Urban
643212,252763.47,France,Cultural
812741,897449.41,Australia,Cultural
825993,621813.92,Australia,Historical
950658,809130.85,Australia,Adventure
589849,59869.33,India,Nature
689575,336925.19,Egypt,Cultural
328287,751160.68,Brazil,Historical
878392,821471.41,Australia,Urban
171913,544876.12,Egypt,Cultural
877034,487971.82,Australia,Historical
624967,878526.96,France,Urban
958216,93854.02,France,Beach
343668,599369.61,Brazil,Nature
833742,347415.33,China,Urban
811018,303651.03,India,Cultural
655732,354590.03,Egypt,Adventure
765094,808802.5,Australia,Adventure
220510,270442.89,India,Urban
705398,8769.54,France,Cultural
847800,206474.88,Australia,Urban
843145,110052.4,Egypt,Nature
453488,967025.98,Brazil,Nature
543762,183324.89,France,Historical
775117,160352.45,Brazil,Urban
626885,586062.72,China,Beach
149482,479894.14,Egypt,Adventure
271788,736500.94,France,Historical
476373,627963.76,USA,Nature
808255,627270.04,USA,Nature
926326,726054.05,Australia,Beach
800659,577436.42,India,Nature
717709,193323.16,USA,Nature
475758,595614.8,Egypt,Urban
808349,598753.61,Australia,Nature
719905,292642.11,China,Historical
722612,226727.8,USA,Urban
705490,135875.08,USA,Cultural
802225,380374.99,Australia,Cultural
783089,386071.49,France,Historical
466195,273956.7,Egypt,Historical
147619,435773.78,Australia,Urban
738466,763568.3,France,Adventure
34309,67278.34,Egypt,Nature
44317,25761.36,USA,Historical
351200,568735.46,Egypt,Cultural
859352,719007.54,USA,Beach
405785,545406.04,France,Urban
87323,828804.43,Brazil,Historical
404119,358069.05,India,Cultural
8720,281720.85,India,Nature
637337,959725.69,Australia,Beach
40594,897569.52,France,Nature
778164,844887.66,India,Cultural
521645,453309.54,Egypt,Beach
220021,370255.4,USA,Cultural
945441,473372.63,India,Historical
972818,18709.61,Australia,Beach
521195,360229.65,Australia,Cultural
192563,121401.03,Australia,Adventure
307691,516067.67,France,Cultural
77924,773928.96,Egypt,Urban
432079,94876.63,USA,Adventure
552406,421889.7,Australia,Beach
103704,919394.37,France,Cultural
78496,803448.83,Brazil,Nature
466796,179208.55,India,Beach
824764,490377.6,France,Nature
710118,184331.74,Australia,Beach
685583,688891.65,USA,Urban
162564,730059.98,Egypt,Nature
614983,410561.19,Australia,Adventure
952461,601430.33,India,Cultural
240840,965213.66,Brazil,Cultural
186437,573635.11,Egypt,Adventure
56971,424589.56,Egypt,Beach
192516,613212.49,Egypt,Nature
81186,704950.07,Australia,Historical
186195,564886.24,China,Beach
780437,92664.26,Egypt,Beach
778496,823063.26,India,Adventure
350952,358037.82,France,Urban
985854,954644.51,USA,Cultural
752607,126871.98,USA,Nature
494634,248016.71,China,Cultural
72822,286814.85,Brazil,Urban
117577,789624.19,Australia,Cultural
651039,684678.49,France,Nature
217584,126238.69,India,Cultural
205036,778577.2,Australia,Nature
686213,76735.01,India,Historical
727386,851090.43,Brazil,Historical
915810,690104.39,Egypt,Urban
914948,43224.75,France,Cultural
354395,99945.41,Brazil,Adventure
363763,98062.85,China,Adventure
309822,27527.28,Egypt,Historical
286803,671025.38,Australia,Urban
909396,632103.38,Brazil,Historical
628892,401588.99,USA,Urban
616673,934499.63,China,Historical
705070,462808.75,France,Beach
49979,333471.52,USA,Urban
736570,465182.45,Brazil,Beach
384235,884964.09,Egypt,Beach
936388,196641.19,USA,Cultural
324369,12184.01,France,Adventure
29236,987579.93,India,Nature
739444,177953.87,China,Historical
516044,969966.78,USA,Adventure
447371,579519.92,Australia,Nature
234002,158170.73,USA,Urban
243162,290843.65,Australia,Cultural
732658,698686.84,Brazil,Historical
280691,405425.51,India,Adventure
566123,774466.62,Egypt,Cultural
8597,195612.43,Brazil,Beach
807290,458120.63,France,Nature
536932,90932.16,India,Historical
388912,989138.15,China,Nature
193106,689007.52,Australia,Cultural
879602,337931.83,India,Urban
894805,494169.35,Brazil,Urban
348801,29927.14,Egypt,Historical
529052,973022.71,France,Historical
603081,646393.39,India,Cultural
131940,78710.35,USA,Historical
872010,968338.15,France,Urban
339096,32155.85,Brazil,Historical
876312,882999.19,China,Cultural
885739,151797.93,Egypt,Adventure
4211,638861.46,Brazil,Nature
270730,191932.0,China,Beach
878428,421194.39,India,Adventure
791062,134876.13,USA,Urban
331179,899345.34,France,Cultural
304772,234521.41,France,Historical
459130,775052.14,Egypt,Adventure
737696,193544.15,Egypt,Historical
356491,142999.89,India,Cultural
388625,521171.69,Brazil,Nature
531496,911083.67,France,Nature
308326,711128.84,USA,Historical
653781,40753.41,France,Urban
281660,82264.6,Egypt,Nature
961522,372219.78,China,Nature
768778,852611.16,India,Urban
811479,310413.27,USA,Nature
811019,802140.21,India,Adventure
478673,26316.0,USA,Historical
955746,123959.52,USA,Historical
136593,502494.25,Australia,Historical
453803,979693.38,China,Cultural
939612,355983.13,Brazil,Nature
616510,560834.0,India,Urban
